Match,BPrev,BStreak,B_Age,B_Age Group,B_Height,B_ID,B_Weight,RPrev,RStreak,R_Age,R_Age_Group,R_Height,R_ID,R_Weight,winner,Blue Impact,Red Impact Score
690,0,0,27,20's,193,2323,77,2,1,25,20's,180,2172,77,red,0,3961
691,1,1,28,20's,175,2236,70,2,1,28,20's,175,2223,70,red,5386,3335
692,0,0,30,30's,170,2164,65,0,0,33,30's,170,2165,61,blue,0,0
693,1,1,29,20's,165,2731,61,3,2,28,20's,172,1719,61,red,3128,3721
694,1,1,34,30's,187,2300,93,1,0,37,30's,185,2009,93,red,578,954
695,3,2,25,20's,180,2172,77,3,1,30,30's,182,2124,77,blue,4299,11947
696,3,3,33,30's,187,503,93,4,1,33,30's,187,516,93,red,12768,8686
697,2,1,31,30's,180,1657,70,1,1,30,30's,177,1683,70,blue,2013,4392
698,0,0,32,30's,177,669,77,0,0,25,20's,175,2070,84,red,0,0
699,0,0,32,30's,175,2158,70,9,1,27,20's,177,2168,70,red,0,20268
700,1,0,29,20's,175,2307,77,0,0,32,30's,185,2334,77,red,496,0
701,0,0,28,20's,177,2423,65,0,0,29,20's,177,2422,65,red,0,0
702,2,0,30,30's,177,2756,70,5,0,30,30's,177,2222,70,red,2316,14781
703,1,0,25,20's,190,2167,84,0,0,33,30's,182,1989,84,red,4874,0
704,0,0,30,30's,180,2758,70,0,0,28,20's,175,2144,70,red,0,0
705,2,1,33,30's,187,1952,77,1,0,27,20's,182,2248,77,blue,8168,1511
706,1,0,31,30's,190,2753,113,3,0,26,20's,190,2233,109,blue,3589,10706
707,6,0,37,30's,180,405,77,4,0,33,30's,175,511,70,red,16735,12077
708,0,0,31,30's,187,2761,112,0,0,33,30's,180,2337,93,red,0,0
709,2,1,29,20's,180,2503,70,2,2,27,20's,177,2502,70,red,6943,2674
710,1,0,31,30's,170,2710,52,3,0,31,30's,162,2350,52,red,3278,10904
711,6,3,32,30's,177,1486,65,4,4,26,20's,172,2213,65,blue,26481,12485
712,1,0,34,30's,177,2287,70,1,0,40,40's,175,283,70,blue,3329,2358
713,4,0,34,30's,172,1054,65,8,8,25,20's,180,1936,65,red,11218,26351
714,1,1,33,30's,187,503,93,2,1,32,30's,187,1189,93,blue,5451,8883
715,0,0,27,20's,187,2815,70,5,1,28,20's,172,1340,70,red,0,12406
716,4,2,29,20's,172,1858,61,3,2,27,20's,172,1979,61,red,7316,10496
717,0,0,29,20's,180,2503,70,0,0,34,30's,182,1992,77,red,0,0
718,1,0,24,20's,180,2312,65,2,0,28,20's,182,2216,65,blue,4477,4549
719,4,3,30,30's,182,2107,77,4,1,35,30's,185,2227,77,blue,9030,8599
720,0,0,27,20's,190,2768,93,1,1,29,20's,187,2367,93,blue,0,225
721,1,1,28,20's,172,2430,65,2,1,32,30's,172,1980,65,red,2994,6883
722,0,0,36,30's,195,2215,118,1,0,39,30's,187,2197,112,blue,0,281
