BPrev,BStreak,B_Age,B_Height,B_HomeTown,B_ID,B_Location,B_Name,B_Weight,Date,Event_ID,Fight_ID,Last_round,Max_round,RPrev,R_Age,R_Height,R_HomeTown,R_ID,R_Location,R_Name,R_Weight,winby,winner
7,1,41,167,"Tulare, California United States",2376,"Visalia, California United States",Marion Reneau,61,7/7/2018,860,7089,2,3,8,38,167,"Takoma Park, Maryland United States",2022,"Sacramento, California United States",Sara McMann,61,SUB,blue
8,1,35,177,Malmo Sweden,2060,Malmo Sweden,Ilir Latifi,93,6/6/2018,860,7099,1,3,13,35,190,"Immokalee, Florida United States",1499,"Knoxville, Tennessee United States",Ovince Saint Preux,93,SUB,blue
7,1,32,170,"Honolulu, Hawaii United States",2164,"Honolulu, Hawaii United States",Russell Doane,61,2/24/2018,860,7102,3,3,7,34,167,Brasilia Brazil,1044,Brasilia Brazil,Rani Yahya,61,SUB,red
6,0,33,160,"Clinton, Maryland United States",2352,"San Diego, California United States",Angela Hill,52,2/25/2018,860,7109,3,3,5,27,170,Volnogorsk Ukraine,2465,Volnogorsk Ukraine,Maryna Moroz,52,DEC,blue
2,2,26,167,"Hanford, California United States ",2969,"Lemoore, California United States ",Alex Perez,56,2/25/2018,860,7121,3,3,3,27,167,"Lawton, Oklahoma  United States ",2859,"Davenport, Iowa United States ",Eric Shelton,56,DEC,blue
0,0,24,177,"Boston, Massachusetts United States",3057,"Norwell, Massachusetts United States",Manny Bermudez,61,2/24/2018,860,7127,2,3,5,27,175,"Granada Hills, California United States",2405,"Reseda, California United States",Albert Morales,61,SUB,blue
5,2,31,182,Zabrze Poland,668,"Au, Balingen Germany",Peter Sobotta,77,3/19/2018,861,7035,3,3,8,27,182,Kingston Jamaica,2329,Birmingham England,Leon Edwards,77,KO/TKO,red
0,0,29,190,Yalta USSR,2850,Moscow Russia,Dmitry Sosnovskiy,109,3/19/2018,861,7036,2,3,3,34,187,Taunton  England,2827,Bridgewater England,Mark Godbeer,109,SUB,blue
0,0,26,187,Dagestan Russia,3046,Makhachkala Russia,Magomed Ankalaev,93,3/19/2018,861,7037,3,3,3,30,193,Airdrie Scotland,2834,Coatbridge Scotland,Paul Craig,93,SUB,red
4,3,34,180,"Burns Lake, British Columbia Canada",2231,"Vancouver, British Columbia Canada",Kajan Johnson,70,3/19/2018,861,7086,3,3,7,28,177,Fife Scotland,2502,Fife Scotland,Stevie Ray,70,DEC,blue
