B_Age,B_Height,B_ID,B_Weight,Event_ID,Fight_ID,R_Age,R_Height,R_ID,R_Weight,winner
24,175,2157,70,772,6014,31,175,542,70,blue
28,182,2216,65,676,4919,28,182,2048,65,red
28,185,2789,84,816,6547,28,193,1843,84,red
36,193,808,120,750,5713,33,193,535,108,blue
28,177,2373,65,763,5875,29,170,2035,65,blue
38,193,367,109,773,6020,36,193,808,120,red
32,172,1184,61,729,5530,32,170,961,61,blue
29,185,2604,70,733,5561,29,180,2503,70,red
29,190,2047,77,724,5556,39,185,326,77,red
29,185,637,77,655,4670,35,187,455,77,red
30,162,2881,52,813,6606,29,162,2870,52,red
33,187,1952,77,700,5252,28,187,2282,77,blue
28,180,1851,77,668,4780,37,182,1454,77,blue
31,185,2746,70,759,5862,29,177,2313,70,red
27,152,2808,52,797,6422,30,157,2372,52,blue
28,193,1843,84,798,6308,30,182,2747,84,blue
23,182,2783,84,785,6191,32,190,2766,84,blue
29,190,2779,77,797,6347,28,182,2228,77,blue
34,177,1910,61,685,4961,32,167,1044,61,red
36,182,435,84,807,6496,37,185,896,84,red
30,180,2093,70,739,5578,30,182,2507,70,red
30,182,2747,84,759,5894,37,185,2085,93,red
26,165,2210,61,669,4795,33,175,1912,61,blue
29,182,2104,77,717,5410,36,182,1209,77,blue
30,185,2849,93,799,6380,31,190,1742,93,red
31,160,1347,52,801,6371,22,162,2305,52,blue
26,165,2210,61,754,5871,30,167,2309,61,blue
43,177,735,120,809,6487,36,193,808,120,red
33,167,2007,56,668,4788,32,160,1904,61,red
28,182,2209,77,672,4790,30,182,668,77,red
29,185,1985,70,771,5987,27,177,2168,70,blue
34,165,2341,52,726,5480,29,167,2280,52,red
27,177,1531,65,792,6372,34,172,1054,65,red
38,185,368,84,774,6035,32,190,1294,84,blue
33,175,515,65,807,6491,27,182,2821,70,red
28,180,2778,77,807,6472,26,190,2739,77,blue
30,170,2147,61,679,4969,26,165,2298,56,blue
28,180,1596,77,650,4646,41,182,870,77,red
35,172,941,65,664,4768,33,180,1815,70,red
28,175,2785,61,794,6319,33,167,1618,61,red
24,180,2312,65,720,5414,28,172,2360,65,red
34,187,2300,93,769,5977,38,182,966,93,blue
33,177,2060,93,768,6001,31,190,1742,93,blue
30,177,2701,77,778,6086,21,182,2628,70,red
34,167,2017,61,700,5103,30,170,1828,61,red
31,180,2585,70,776,6116,28,172,2573,70,red
31,165,2328,52,754,5849,28,165,2697,52,red
29,170,2603,52,796,6338,28,162,2277,52,red
29,190,2199,93,733,5562,33,177,2060,93,red
35,170,459,65,774,6102,26,172,2238,65,red
32,172,1980,65,696,5136,32,177,1486,65,blue
31,180,2214,65,683,4918,27,175,2153,65,blue
32,167,2010,56,740,5654,26,165,2103,56,red
33,185,2055,77,665,4753,34,170,646,77,blue
25,162,2306,52,718,5341,38,160,2346,52,red
33,180,2337,93,798,6401,23,185,2765,93,blue
34,165,1034,61,662,4715,31,165,2011,56,red
25,190,2510,77,745,5633,29,185,2269,77,blue
